 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
    ____    _______________    _______________    ___________    _________    _____________    ____________    ____________

     39         9.5273             5.4608            1.1374       20.758         25.282              9              53     
     69         9.4086             9.4086            1.2632         26.2         31.043             10              64     
     69         9.4086             9.4086            1.2632         26.2          10.29              1              28     
     91         11.742             9.9362            1.2062        30.79         22.769              8              48     
    105         12.699             10.626            1.1767       33.486         27.486             12              50     
     69         9.4086             9.4086            1.2632         26.2         57.754             24             105     
    115         13.646             10.835            1.1545        35.38         25.243              4              80     
     69         9.4086             9.4086            1.2632         26.2         14.029              4              33     
     69         9.4086             9.4086            1.2632         26.2         40.014             18              68     
     69         9.4086             9.4086            1.2632         26.2         24.174              4              66     
     69         9.4086             9.4086            1.2632         26.2         23.928              9              59     
     95         11.641             10.482            1.2011       31.526         63.674             27             118     
     82         10.935             9.6154            1.2242       29.012         17.537              4              35     
     69         9.4086             9.4086            1.2632         26.2         40.696             17              70     
     69         9.4086             9.4086            1.2632         26.2         7.7971              2              26     
    102         12.629             10.353            1.1819       32.932         21.775              4              55     
     87         11.613             9.6204            1.2051        30.12         28.667              9              62     
     85         10.778             10.128            1.2219       29.566         15.306              5              34     
     69         9.4086             9.4086            1.2632         26.2         51.841             22             107     
     69         9.4086             9.4086            1.2632         26.2         44.609             20              77     
     85         10.778             10.128            1.2219       29.566         20.494              7              40     
     69         9.4086             9.4086            1.2632         26.2         45.623             18              85     
     69         9.4086             9.4086            1.2632         26.2         68.522             32             123     
    115         13.794             10.722            1.1502       35.446         36.557             13              72     
     69         9.4086             9.4086            1.2632         26.2         28.971             12              54     
     82         10.935             9.6154            1.2242       29.012         12.988              4              23     
     69         9.4086             9.4086            1.2632         26.2         34.551             13              62     
     95         12.488             9.7628            1.1788       31.824         10.558              3              26     
     69         9.4086             9.4086            1.2632         26.2         39.609             20              66     
     69         9.4086             9.4086            1.2632         26.2         6.8551              2              17     
     69         9.4086             9.4086            1.2632         26.2          40.87             12              70     
     69         9.4086             9.4086            1.2632         26.2         59.884             31              95     
     78         10.505             9.5273            1.2361        28.16         40.321             17              77     
    161         22.298             9.6882           0.82278       49.588         5.7329              1              18     
     69         9.4086             9.4086            1.2632         26.2         56.797             23              93     
     96         12.728             9.6954            1.1722        32.08          61.75             28              93     
     78         10.505             9.5273            1.2361        28.16         20.808             11              37     
    122         12.894             12.136            1.1754       36.116          40.32             14              82     
    101         12.486               10.4            1.1833        32.75         13.802              4              34     
     69         9.4086             9.4086            1.2632         26.2         8.9855              1              24     
     69         9.4086             9.4086            1.2632         26.2         69.899             35             106     
     82         10.935             9.6154            1.2242       29.012         51.207             21              97     
     87         11.613             9.6204            1.2051        30.12          13.69              3              35     
     69         9.4086             9.4086            1.2632         26.2         93.667             32             138     
     69         9.4086             9.4086            1.2632         26.2         42.029             19              85     
     78         10.505             9.5273            1.2361        28.16         52.705             20             103     
     78         10.505             9.5273            1.2361        28.16         78.731             42             134     
     82         10.935             9.6154            1.2242       29.012         51.598             22              92     
