 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
    ____    _______________    _______________    ___________    _________    _____________    ____________    ____________

    102         12.159             10.754           1.1951         32.75         7.1373              3              19     
     78         10.505             9.5273           1.2361         28.16         4.8846              2              10     
     98          11.74             10.726           1.1967         32.08         6.3265              2              12     
     95         11.641             10.482           1.2011        31.526         4.5789              1              11     
     69         9.4086             9.4086           1.2632          26.2         11.507              5              22     
    176         17.526             12.907            1.078        45.296         3.5398              1               9     
     78         10.505             9.5273           1.2361         28.16         5.7179              1              17     
     69         9.4086             9.4086           1.2632          26.2         4.8986              2              10     
     69         9.4086             9.4086           1.2632          26.2         14.493              6              30     
     69         9.4086             9.4086           1.2632          26.2         6.3333              1              18     
     69         9.4086             9.4086           1.2632          26.2         9.0435              4              17     
    139         16.351             10.997           1.0698        40.408         4.6691              1              16     
     69         9.4086             9.4086           1.2632          26.2         3.5652              1              12     
     96         12.728             9.6954           1.1722         32.08         5.6042              2              10     
     69         9.4086             9.4086           1.2632          26.2          16.42              7              28     
     69         9.4086             9.4086           1.2632          26.2         10.739              2              24     
    181         17.206             13.571            1.091         45.66         4.9061              1              13     
     69         9.4086             9.4086           1.2632          26.2         12.899              4              23     
    114         13.819              10.61            1.152        35.264         11.728              5              19     
     69         9.4086             9.4086           1.2632          26.2         10.203              2              20     
     91         11.742             9.9362           1.2062         30.79         3.7473              1              11     
     87         11.613             9.6204           1.2051         30.12              6              1              15     
     94         11.699             10.328           1.2023        31.344         5.7447              1              26     
     69         9.4086             9.4086           1.2632          26.2          13.13              6              27     
     87         11.613             9.6204           1.2051         30.12         13.862              6              22     
     87         11.613             9.6204           1.2051         30.12         7.6207              3              14     
     69         9.4086             9.4086           1.2632          26.2         6.1884              1              17     
     78         10.505             9.5273           1.2361         28.16         13.423              4              27     
     95         12.488             9.7628           1.1788        31.824         7.1895              2              20     
     78         10.505             9.5273           1.2361         28.16         15.051              7              24     
     85         10.778             10.128           1.2219        29.566         6.0118              1              15     
     69         9.4086             9.4086           1.2632          26.2         19.029              8              38     
     78         10.505             9.5273           1.2361         28.16         15.615              7              30     
     85         10.778             10.128           1.2219        29.566         13.482              5              26     
    147         14.647             13.048           1.1148        40.706         5.8367              2              16     
     69         9.4086             9.4086           1.2632          26.2         6.4203              1              15     
    135         15.205             11.403           1.1195        38.928          11.77              3              30     
     69         9.4086             9.4086           1.2632          26.2         12.884              4              29     
     78         10.505             9.5273           1.2361         28.16         15.064              7              26     
     69         9.4086             9.4086           1.2632          26.2         8.2754              1              21     
     69         9.4086             9.4086           1.2632          26.2         15.464              5              32     
     69         9.4086             9.4086           1.2632          26.2         8.7391              3              22     
     69         9.4086             9.4086           1.2632          26.2         18.623              7              35     
    119         12.952             11.842           1.1581        35.934         14.622              6              32     
    119         13.606             11.243           1.1581        35.934          8.042              3              19     
     78         10.505             9.5273           1.2361         28.16         6.3333              1              19     
     87         11.613             9.6204           1.2051         30.12         12.172              6              22     
     69         9.4086             9.4086           1.2632          26.2         18.449             10              29     
