 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
     98          11.74             10.726           1.1967         32.08         14.082              4              32     
     69         9.4086             9.4086           1.2632          26.2         5.4348              2              12     
    165         15.691             13.528           1.1233        42.964         20.285              7              52     
    102         12.146             10.827           1.1819        32.932         10.206              4              29     
     69         9.4086             9.4086           1.2632          26.2         7.9565              2              18     
     78         10.505             9.5273           1.2361         28.16         5.5385              1              16     
     82         10.935             9.6154           1.2242        29.012             16              8              28     
     85         10.778             10.128           1.2219        29.566            5.6              1              18     
    107         13.152              10.45           1.1649        33.974         10.505              4              19     
     69         9.4086             9.4086           1.2632          26.2         5.7536              2              13     
     78         10.505             9.5273           1.2361         28.16         14.474              6              25     
    129         13.677             12.104           1.1627         37.34         17.225              7              33     
    161         15.231             13.605           1.1271        42.368         21.534              9              42     
     92         11.372               10.4           1.2052        30.972         11.228              4              26     
     69         9.4086             9.4086           1.2632          26.2         11.551              4              23     
    128         13.938             11.818           1.1496        37.406         14.172              4              35     
     69         9.4086             9.4086           1.2632          26.2         6.3333              1              15     
     78         10.505             9.5273           1.2361         28.16         15.936              7              27     
    113         13.867             10.496           1.1419        35.264         7.4071              3              19     
    103         11.522             11.484           1.1935        32.932         16.272              6              32     
     82         10.935             9.6154           1.2242        29.012         19.512             11              43     
     69         9.4086             9.4086           1.2632          26.2         36.014             19              54     
     78         10.505             9.5273           1.2361         28.16         13.128              4              27     
     69         9.4086             9.4086           1.2632          26.2         23.159             11              36     
     85         10.778             10.128           1.2219        29.566         11.388              5              23     
     69         9.4086             9.4086           1.2632          26.2         6.6812              3              19     
     69         9.4086             9.4086           1.2632          26.2          18.29             10              32     
     69         9.4086             9.4086           1.2632          26.2         45.522             22              70     
    125         14.986             10.713           1.1157        37.522           32.8             17              55     
     69         9.4086             9.4086           1.2632          26.2         25.623             10              42     
     69         9.4086             9.4086           1.2632          26.2         11.957              5              26     
    100         12.746             10.075           1.1716         32.75          29.47             13              52     
    115         13.794             10.722           1.1502        35.446         5.4348              1              12     
     91         11.742             9.9362           1.2062         30.79         33.385             15              59     
     85         10.778             10.128           1.2219        29.566         25.529             10              47     
     69         9.4086             9.4086           1.2632          26.2         24.493             12              45     
     85         10.778             10.128           1.2219        29.566         16.588              8              30     
    100         11.644             11.015           1.1987        32.378          39.45             19              64     
     92         11.679             10.096           1.2052        30.972         70.293             34             114     
    116         12.549             11.857           1.1771         35.19         16.026              7              33     
     87         11.613             9.6204           1.2051         30.12          6.954              1              15     
     94         11.699             10.328           1.2023        31.344         28.053             12              44     
     87         11.613             9.6204           1.2051         30.12         21.609             10              39     
    139         13.681             13.014           1.1635        38.746         43.309             21              73     
     78         10.505             9.5273           1.2361         28.16         10.295              3              23     
    129         12.876             12.876            1.156        37.448         15.147              4              42     
    143         16.021              11.55           1.0907         40.59         5.3566              1              20     
     69         9.4086             9.4086           1.2632          26.2         4.5942              1              12     
     88         10.629             10.629           1.2189         30.12         67.591             46             102     
     69         9.4086             9.4086           1.2632          26.2         29.319             18              46     
     85         10.778             10.128           1.2219        29.566         13.741              7              25     
    120         12.394             12.394           1.1803        35.744         46.933             23              74     
     69         9.4086             9.4086           1.2632          26.2         19.101             10              34     
    117         12.864             11.694           1.1702        35.446         6.3077              1              20     
     69         9.4086             9.4086           1.2632          26.2         13.232              6              28     
    103         13.295             9.9455           1.1589         33.42         44.951             21              69     
     82         10.935             9.6154           1.2242        29.012         5.5244              1              15     
     78         10.505             9.5273           1.2361         28.16         24.308             14              40     
    119         14.871             10.296           1.1121         36.67         105.36             50             163     
     82         10.935             9.6154           1.2242        29.012         16.659              6              34     
     69         9.4086             9.4086           1.2632          26.2          46.42             19              73     
     69         9.4086             9.4086           1.2632          26.2         16.348              6              29     
     69         9.4086             9.4086           1.2632          26.2         49.319             24              79     
     82         10.935             9.6154           1.2242        29.012         24.756             13              51     
    105          13.85              9.757           1.1387         34.04         15.029              7              34     
     69         9.4086             9.4086           1.2632          26.2         17.797             10              28     
     85         10.778             10.128           1.2219        29.566         55.506             27              84     
     69         9.4086             9.4086           1.2632          26.2         65.391             35              99     
    103         12.796             10.368            1.167        33.304         5.5437              1              13     
    131         13.372             12.544           1.1693        37.522         38.382             13              74     
    111         12.965                 11             1.17        34.528         63.991             30             104     
     69         9.4086             9.4086           1.2632          26.2         33.942             20              55     
     82         10.935             9.6154           1.2242        29.012          14.72              6              25     
     98          11.74             10.726           1.1967         32.08         30.041             11              53     
    107         13.161              10.45           1.1649        33.974          86.72             43             126     
     78         10.505             9.5273           1.2361         28.16         6.0897              2              13     
     87         11.613             9.6204           1.2051         30.12         24.092             11              46     
     69         9.4086             9.4086           1.2632          26.2         51.623             36              84     
    118         13.314             11.349           1.1725        35.562         39.034             15              65     
     69         9.4086             9.4086           1.2632          26.2         13.058              4              31     
     69         9.4086             9.4086           1.2632          26.2         7.6377              2              21     
     87         11.613             9.6204           1.2051         30.12         8.6092              3              15     
     69         9.4086             9.4086           1.2632          26.2         56.246             25              84     
     69         9.4086             9.4086           1.2632          26.2         40.188             21              60     
     91         11.742             9.9362           1.2062         30.79         62.286             23             103     
    103         11.522             11.484           1.1935        32.932          17.99              8              42     
    132         13.744             12.381           1.1552        37.894         37.242             18              63     
     78         10.505             9.5273           1.2361         28.16         81.513             48             105     
    110         12.552             11.242           1.1849        34.156         16.264              7              36     
    129         13.176             12.597           1.1586        37.406         56.814             22             102     
     87         11.613             9.6204           1.2051         30.12         11.069              3              31     
    105         12.014             11.237           1.1896        33.304         29.124             13              53     
     87         11.613             9.6204           1.2051         30.12         50.494             22              75     
     95         12.488             9.7628           1.1788        31.824         38.158             23              59     
    191         17.407             14.184           1.0831        47.074         45.749             20              75     
     69         9.4086             9.4086           1.2632          26.2         46.609              6             112     
     69         9.4086             9.4086           1.2632          26.2         74.348             31             115     
     69         9.4086             9.4086           1.2632          26.2         35.536             13              56     
     69         9.4086             9.4086           1.2632          26.2         54.362             19              86     
     87         11.613             9.6204           1.2051         30.12         61.908             32              95     
     69         9.4086             9.4086           1.2632          26.2         35.449             19              51     
     69         9.4086             9.4086           1.2632          26.2          9.058              2              21     
     69         9.4086             9.4086           1.2632          26.2         16.174              4              49     
    134         13.708             12.588           1.1505        38.258         44.209             15              86     
     69         9.4086             9.4086           1.2632          26.2         17.174              6              31     
    109         12.607             11.089           1.1867        33.974         39.615             18              88     
     98          11.74             10.726           1.1967         32.08         53.459             33              84     
     69         9.4086             9.4086           1.2632          26.2         17.623              7              32     
     95         11.641             10.482           1.2011        31.526         48.684             28              86     
     69         9.4086             9.4086           1.2632          26.2         21.812              8              39     
     85         10.778             10.128           1.2219        29.566         58.082             29              86     
     95         11.641             10.482           1.2011        31.526         16.937              8              37     
     91         11.742             9.9362           1.2062         30.79         5.4945              1              24     
    106          11.98             11.368           1.1879        33.486         9.3585              3              27     
    102         12.629             10.353           1.1819        32.932         64.549             29              95     
     85         10.778             10.128           1.2219        29.566         23.224             14              45     
     69         9.4086             9.4086           1.2632          26.2         12.928              6              23     
     69         9.4086             9.4086           1.2632          26.2         46.101             29              72     
     92         11.372               10.4           1.2052        30.972         22.109              7              51     
     69         9.4086             9.4086           1.2632          26.2         18.101              7              44     
     91         11.742             9.9362           1.2062         30.79         69.363             31             100     
     85         10.778             10.128           1.2219        29.566         9.6471              3              23     
     69         9.4086             9.4086           1.2632          26.2         34.188             16              62     
     78         10.505             9.5273           1.2361         28.16         53.154             32              75     
     78         10.505             9.5273           1.2361         28.16         16.141              7              33     
     92         11.372               10.4           1.2052        30.972          39.12             19              74     
     78         10.505             9.5273           1.2361         28.16         49.385             21              71     
     85         10.778             10.128           1.2219        29.566         27.024             11              48     
     90         11.806             9.7752           1.2072        30.608         42.278             18              66     
     87         11.613             9.6204           1.2051         30.12         105.71             43             149     
     78         10.505             9.5273           1.2361         28.16         38.128             19              64     
     69         9.4086             9.4086           1.2632          26.2          12.58              4              26     
     69         9.4086             9.4086           1.2632          26.2          68.42             35              99     
     88         10.629             10.629           1.2189         30.12         11.886              4              25     
     87         11.613             9.6204           1.2051         30.12         33.575             16              57     
     85         10.778             10.128           1.2219        29.566         78.224             37             119     
    147         15.916             11.887           1.1112        40.772         32.034             12              64     
     87         11.613             9.6204           1.2051         30.12         13.908              7              29     
     88         10.629             10.629           1.2189         30.12         50.943             25              85     
     78         10.505             9.5273           1.2361         28.16         66.936             41             110     
     69         9.4086             9.4086           1.2632          26.2         77.986             45             100     
    123         13.775             11.492           1.1495         36.67         39.927             19              68     
     69         9.4086             9.4086           1.2632          26.2          24.87             11              48     
     82         10.935             9.6154           1.2242        29.012         13.293              4              29     
    102         11.547             11.363           1.1951         32.75         43.735             15              70     
     69         9.4086             9.4086           1.2632          26.2         88.812             62             134     
     78         10.505             9.5273           1.2361         28.16         35.885             16              64     
     88         10.629             10.629           1.2189         30.12          89.58             52             130     
    134         14.841             11.608           1.1391        38.448          48.09             21              76     
     69         9.4086             9.4086           1.2632          26.2         25.014              8              45     
     69         9.4086             9.4086           1.2632          26.2         50.275             28              81     
     69         9.4086             9.4086           1.2632          26.2         46.638             22              75     
     92         11.372               10.4           1.2052        30.972         62.413             26             107     
    103         11.522             11.484           1.1935        32.932         77.359             44             127     
    128         13.938             11.818           1.1496        37.406         35.461             17              59     
     69         9.4086             9.4086           1.2632          26.2         41.029             17              60     
     78         10.505             9.5273           1.2361         28.16         84.962             47             130     
    130         14.924             11.296           1.1051        38.448         12.646              1              45     
     69         9.4086             9.4086           1.2632          26.2         45.957             24              63     
     78         10.505             9.5273           1.2361         28.16         23.705             11              44     
     78         10.505             9.5273           1.2361         28.16         59.397             33              91     
    102         12.159             10.754           1.1951         32.75         72.784             42             103     
    123         13.775             11.492           1.1495         36.67         63.943             29             101     
     85         10.778             10.128           1.2219        29.566         42.153             20              65     
     95         11.641             10.482           1.2011        31.526         47.947             23              77     
     69         9.4086             9.4086           1.2632          26.2         7.2029              1              26     
     87         11.613             9.6204           1.2051         30.12         40.724             27              70     
     69         9.4086             9.4086           1.2632          26.2         8.6522              3              19     
     69         9.4086             9.4086           1.2632          26.2         60.536             37              79     
     82         10.935             9.6154           1.2242        29.012         40.988             19              71     
     69         9.4086             9.4086           1.2632          26.2         92.855             39             130     
     69         9.4086             9.4086           1.2632          26.2         80.957             46             113     
     69         9.4086             9.4086           1.2632          26.2         68.304             50              99     
    101         12.486               10.4           1.1833         32.75         58.218             27              87     
     92         11.679             10.096           1.2052        30.972         20.315             10              42     
     69         9.4086             9.4086           1.2632          26.2         9.6232              1              29     
     69         9.4086             9.4086           1.2632          26.2         71.087             36             104     
     69         9.4086             9.4086           1.2632          26.2         23.101              8              57     
     69         9.4086             9.4086           1.2632          26.2         74.623             33             122     
    102         12.462             10.521           1.1819        32.932         85.353             54             113     
     69         9.4086             9.4086           1.2632          26.2         36.246             22              53     
     69         9.4086             9.4086           1.2632          26.2         72.609             27              94     
     69         9.4086             9.4086           1.2632          26.2         35.768             13              59     
     69         9.4086             9.4086           1.2632          26.2         34.232              9              61     
     69         9.4086             9.4086           1.2632          26.2         61.377             26             109     
    101         12.486               10.4           1.1833         32.75         89.762             45             123     
     69         9.4086             9.4086           1.2632          26.2         51.507             28              89     
     87         11.613             9.6204           1.2051         30.12         32.356             16              52     
     69         9.4086             9.4086           1.2632          26.2          85.87             42             119     
    119         12.413              12.33           1.1704        35.744         47.924             23              82     
     78         10.505             9.5273           1.2361         28.16         15.577              7              30     
    105          13.85              9.757           1.1387         34.04         53.714             25              76     
     69         9.4086             9.4086           1.2632          26.2          26.13              7              55     
     69         9.4086             9.4086           1.2632          26.2         28.145             11              54     
     69         9.4086             9.4086           1.2632          26.2         44.812             21              78     
     87         11.613             9.6204           1.2051         30.12         10.207              2              27     
     78         10.505             9.5273           1.2361         28.16         132.55             83             166     
     87         11.613             9.6204           1.2051         30.12         64.345             28             126     
     78         10.505             9.5273           1.2361         28.16         48.308             27              72     
     69         9.4086             9.4086           1.2632          26.2          23.29              9              44     
     99         12.301              10.33           1.1867        32.378         29.364             14              54     
     78         10.505             9.5273           1.2361         28.16         20.231              6              38     
     69         9.4086             9.4086           1.2632          26.2         44.174             24              69     
     85         10.778             10.128           1.2219        29.566         27.047             12              45     
     69         9.4086             9.4086           1.2632          26.2         67.217             26             100     
     91         11.742             9.9362           1.2062         30.79         23.099              8              45     
     82         10.935             9.6154           1.2242        29.012         127.66             69             174     
    106         13.137             10.343           1.1671        33.784         36.236             15              66     
     78         10.505             9.5273           1.2361         28.16         18.436              7              37     
     78         10.505             9.5273           1.2361         28.16         96.923             54             151     
     78         10.505             9.5273           1.2361         28.16         53.962             25              79     
    105         12.699             10.626           1.1767        33.486         70.067             30             113     
     78         10.505             9.5273           1.2361         28.16         18.641              7              41     
     69         9.4086             9.4086           1.2632          26.2         54.014             27              84     
     69         9.4086             9.4086           1.2632          26.2         34.029              9              91     
     69         9.4086             9.4086           1.2632          26.2         10.478              4              22     
     69         9.4086             9.4086           1.2632          26.2         24.478             13              49     
     78         10.505             9.5273           1.2361         28.16         108.35             48             169     
     69         9.4086             9.4086           1.2632          26.2         27.812             11              43     
    167         14.753             14.554           1.1426        42.856         177.48             69             241     
     69         9.4086             9.4086           1.2632          26.2         37.841             19              58     
     78         10.505             9.5273           1.2361         28.16         85.256             44             129     
     69         9.4086             9.4086           1.2632          26.2         13.812              7              24     
     78         10.505             9.5273           1.2361         28.16         19.641              8              40     
     69         9.4086             9.4086           1.2632          26.2         44.188             23              85     
     69         9.4086             9.4086           1.2632          26.2         68.681             34              97     
     69         9.4086             9.4086           1.2632          26.2         55.609             17              76     
     95         11.641             10.482           1.2011        31.526           20.2             11              35     
    117         12.864             11.694           1.1702        35.446         63.427             28              88     
     69         9.4086             9.4086           1.2632          26.2         23.029              9              40     
    141         13.773             13.112           1.1584         39.11         161.11             69             229     
     69         9.4086             9.4086           1.2632          26.2         196.12             35             255     
     78         10.505             9.5273           1.2361         28.16         106.67             66             150     
     69         9.4086             9.4086           1.2632          26.2         55.841              8             131     
     69         9.4086             9.4086           1.2632          26.2         11.203              6              23     
     69         9.4086             9.4086           1.2632          26.2         21.174             12              34     
     69         9.4086             9.4086           1.2632          26.2         71.797             44              95     
     78         10.505             9.5273           1.2361         28.16         111.99             59             144     
    119         12.413              12.33           1.1704        35.744         71.966             31             113     
     78         10.505             9.5273           1.2361         28.16         167.71             90             223     
     69         9.4086             9.4086           1.2632          26.2         17.667              7              33     
    103         12.126             10.884           1.1935        32.932         99.563             39             156     
     78         10.505             9.5273           1.2361         28.16         10.449              3              24     
     69         9.4086             9.4086           1.2632          26.2         84.333             34             131     
     69         9.4086             9.4086           1.2632          26.2         68.449             31             110     
    110         12.555             11.233           1.1849        34.156         70.836             23             111     
     78         10.505             9.5273           1.2361         28.16         176.46             86             227     
     85         10.778             10.128           1.2219        29.566         120.62             64             169     
     69         9.4086             9.4086           1.2632          26.2         29.116             11              53     
     69         9.4086             9.4086           1.2632          26.2         78.913             28             115     
     69         9.4086             9.4086           1.2632          26.2         107.61             44             176     
     69         9.4086             9.4086           1.2632          26.2         37.551             15              65     
     85         10.778             10.128           1.2219        29.566         63.965             29             104     
     69         9.4086             9.4086           1.2632          26.2         14.638              7              29     
     69         9.4086             9.4086           1.2632          26.2         140.12             78             212     
     69         9.4086             9.4086           1.2632          26.2         21.217              2              55     
     69         9.4086             9.4086           1.2632          26.2         160.72             34             247     
     95         11.641             10.482           1.2011        31.526         21.126              8              49     
     92         11.679             10.096           1.2052        30.972         14.848              7              33     
     87         11.613             9.6204           1.2051         30.12         8.0805              3              16     
     69         9.4086             9.4086           1.2632          26.2         8.1449              3              15     
     69         9.4086             9.4086           1.2632          26.2         64.928             24             108     
     69         9.4086             9.4086           1.2632          26.2         39.435             10              70     
     78         10.505             9.5273           1.2361         28.16         15.346              4              36     
     69         9.4086             9.4086           1.2632          26.2         70.768             30             112     
     78         10.505             9.5273           1.2361         28.16         15.808              6              30     
     87         11.613             9.6204           1.2051         30.12         18.908              6              48     
     69         9.4086             9.4086           1.2632          26.2         11.101              5              20     
     69         9.4086             9.4086           1.2632          26.2         23.986             12              54     
     78         10.505             9.5273           1.2361         28.16         25.795             15              40     
     78         10.505             9.5273           1.2361         28.16         10.654              4              23     
     69         9.4086             9.4086           1.2632          26.2         15.971              6              33     
     78         10.505             9.5273           1.2361         28.16         10.205              4              25     
     69         9.4086             9.4086           1.2632          26.2         20.058              6              39     
     82         10.935             9.6154           1.2242        29.012         18.573              6              46     
    102         12.462             10.521           1.1819        32.932         7.0686              2              21     
     96         12.728             9.6954           1.1722         32.08         24.844              7              52     
     69         9.4086             9.4086           1.2632          26.2          59.71             14             124     
     99         11.682             10.882           1.2002        32.196         24.576             14              40     
     69         9.4086             9.4086           1.2632          26.2         15.739              5              34     
     69         9.4086             9.4086           1.2632          26.2         3.8696              1              16     
     85         10.778             10.128           1.2219        29.566         15.718              6              30     
     69         9.4086             9.4086           1.2632          26.2         15.391              6              35     
     69         9.4086             9.4086           1.2632          26.2         5.2319              1              14     
    102         12.146             10.827           1.1819        32.932         5.8529              1              21     
     85         10.778             10.128           1.2219        29.566         9.8824              2              23     
     69         9.4086             9.4086           1.2632          26.2         20.449             12              31     
     69         9.4086             9.4086           1.2632          26.2         48.971             11             100     
     69         9.4086             9.4086           1.2632          26.2         49.261             11              90     
     69         9.4086             9.4086           1.2632          26.2         75.536              4             171     
     85         10.778             10.128           1.2219        29.566         6.6353              2              15     
     87         11.613             9.6204           1.2051         30.12         6.7126              3              14     
     69         9.4086             9.4086           1.2632          26.2         60.029              9             120     
     69         9.4086             9.4086           1.2632          26.2         25.667             11              51     
    111         13.057             10.914             1.17        34.528         5.2162              2              11     
     78         10.505             9.5273           1.2361         28.16         57.718             31              93     
     87         11.613             9.6204           1.2051         30.12         15.724              4              59     
     69         9.4086             9.4086           1.2632          26.2         11.623              2              56     
     69         9.4086             9.4086           1.2632          26.2         177.91             58             253     
     69         9.4086             9.4086           1.2632          26.2         19.058              8              38     
     69         9.4086             9.4086           1.2632          26.2         65.667             33             117     
     82         10.935             9.6154           1.2242        29.012           42.5             19              80     
    159         15.726             13.008           1.1166        42.302         7.3774              2              24     
     69         9.4086             9.4086           1.2632          26.2         109.51              9             210     
     87         11.613             9.6204           1.2051         30.12         5.3448              1              16     
     69         9.4086             9.4086           1.2632          26.2         19.449              6              72     
     69         9.4086             9.4086           1.2632          26.2         98.812             18             213     
     69         9.4086             9.4086           1.2632          26.2         63.536             15             165     
     69         9.4086             9.4086           1.2632          26.2         75.058             21             132     
     69         9.4086             9.4086           1.2632          26.2         164.51             50             249     
    115         15.082             9.8523           1.0854        36.488         4.7565              1              17     
     69         9.4086             9.4086           1.2632          26.2         4.5797              1              18     

Area Stats =
                 mean: 85.5000
               median: 78
    StandardDeviation: 21.8445
             Varience: 477.1811

Cicularity Stats =
                 mean: 1.2249
               median: 1.2361
    StandardDeviation: 0.0435
             Varience: 0.0019

Perimeter Stats =
                 mean: 29.4880
               median: 28.1600
    StandardDeviation: 4.0898
             Varience: 16.7267

Local Region Mean Intensity Stats =
                 mean: 36.9857
               median: 24.1998
    StandardDeviation: 34.4589
             Varience: 1.1874e+03

Min & Max Intensity Stats =
        IdividualMean: [360×1 double]
            MinorMean: 16.1194
            MajorMean: 62.3861
       PopulationMean: 39.2528
          MinorMedian: 10
          MajorMedian: 47.5000
     PopulationMedian: 28.5000
         MinorMinimum: 1
         MinorMaximum: 90
         MajorMinimum: 9
         MajorMaximum: 255
    StandardDeviation: 31.6710
             Varience: 1.0031e+03

Min & Max Length Stats =
        IdividualMean: [360×1 double]
            MinorMean: 9.9880
            MajorMean: 10.8619
       PopulationMean: 10.4249
          MinorMedian: 9.5273
          MajorMedian: 10.5052
     PopulationMedian: 10.0162
         MinorMinimum: 9.4086
         MinorMaximum: 14.5536
         MajorMinimum: 9.4086
         MajorMaximum: 17.5261
    StandardDeviation: 1.2615
             Varience: 1.5915

Statistical Analysis of Nuclei with Watershed =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
    ____    _______________    _______________    ___________    _________    _____________    ____________    ____________

    140         22.514             8.4231           0.65637       51.772         4.7857              0              22     
    349         26.177              17.76           0.79851        74.11         4.5788              0              19     
     66         10.725             8.0409            1.1237       27.168         1.5455              0               5     
    469          28.18             21.887           0.87933       81.868         3.7783              0              13     
     60           10.9             7.2835            1.0501       26.796         1.7667              0               6     
    364         30.716             16.312           0.64241       84.382         3.2308              0              12     
    404          23.34             22.738           0.84217       77.642          4.047              0              12     
     78          10.89             9.2564            1.1645       29.012         1.7436              0               5     
    236         22.629             14.312           0.80613       60.654         6.8729              0              27     
    207         19.413             14.141           0.88942        54.08         4.0386              0              11     
     50         10.314             6.4694            1.0923       23.984           5.28              0              19     
    323         27.596              15.55           0.73343       74.392         5.4737              0              22     
    289         24.577             15.464           0.81188       66.882         3.4291              0               9     
     51         10.154             6.6352            1.0804       24.356         2.3333              0               9     
     53         9.2327             7.5557            1.1756       23.802         1.4717              0               4     
    257         21.204             16.408           0.78674        64.07           3.93              0              11     
    670         32.488             28.432           0.65546       113.34         7.0582              0              30     
     78          12.47             8.0978            1.1352       29.384         4.6923              0              19     
    120         14.108              11.87           0.78812       43.742            3.7              0              13     
     88         14.893             7.8636            0.9218       34.636           4.25              0              17     
    146         15.846             12.029            1.0165       42.484          3.363              0              16     
    138         15.088             12.408           0.94747       42.782         4.7609              0              18     
    124         16.381             9.8003            1.0442        38.63         6.9355              1              19     
    107          16.07             8.7344           0.98345       36.976         3.5047              0              16     
    123          14.85             10.942            0.9309       40.748         2.5691              0              10     
     53         12.606             5.4508           0.94384       26.564         8.0189              1              17     
    219         19.928             15.443           0.80268       58.554         4.4429              0              14     
    116         15.457             10.043           0.91582       39.896          5.569              0              13     
     65         10.152              8.244            1.2419       25.646         5.8769              2              13     
     77         12.568              8.011            1.0584       30.236         4.0519              0              11     
    202         21.024             13.282           0.75479       57.992         3.3564              0              12     
    100          13.86             9.3957            1.0186       35.124           3.85              0              10     
    137         19.904              9.727           0.77309        47.19         3.6642              0              10     
    366         24.126             20.268           0.72719       79.528         4.9508              0              14     
     99         15.516             8.6627           0.85919       38.052         3.2727              0              17     
    244         18.804              17.13           0.98216       55.874         9.3934              1              28     
    206         17.453             15.322           0.96119       51.896         7.8495              0              24     
    248         18.774             17.284             0.894       59.042         4.4274              0              13     
    213         20.217             13.627           0.91887       53.972         7.0845              0              20     
    151         15.804             12.419           0.99136        43.75         9.5762              0              23     
     95         15.809             8.0965           0.80582        38.49         4.6947              0              17     
    220         26.861             11.562           0.66813       64.326         4.4045              0              19     
     52          8.402             8.0895            1.2212       23.132         6.4423              1              15     
    421          23.82             23.213           0.82002       80.322         7.4252              0              20     
    108         13.854             10.571           0.94264       37.944          4.463              0              12     
    230          17.37             17.171           0.99923       53.782            5.3              0              17     
    180         20.545             13.348           0.72113       56.006         5.3722              0              26     
     90          15.77             7.8611           0.84447       36.596         5.9444              0              16     
    220         17.207               16.5           0.95578       53.782           8.85              1              22     
    226         21.326             14.402           0.77554       60.514         4.2743              0              17     
    122          14.62             11.052           0.98679       39.416         8.8033              0              27     
     96          13.37             9.6824           0.93812        35.86            4.5              0              18     
    153         15.282             12.946           0.93842       45.264         6.2353              0              14     
     74         12.731             7.6908           0.98563       30.716         4.0811              0              12     
     91         14.112             8.5231           0.86043       36.456         5.1099              0              18     
    205         18.524             14.311           0.99581       50.862         9.3902              0              27     
     51         10.377             6.5306             1.039       24.836         5.3333              0              12     
     52         9.0237             7.4792            1.2212       23.132         5.1923              0              20     
    170         16.343             13.463             1.001       46.198         6.0294              0              20     
    187         18.997             13.475            0.8202       53.526          5.385              0              15     
    152         15.647             12.591            1.0771       42.112         11.526              1              24     
    256          19.53             17.328           0.83301       62.144         10.191              1              38     
     53         11.697             5.9742            0.9807        26.06         4.1321              0              14     
     66         10.215              8.382            1.1333       27.052         7.7879              0              24     
     75         11.177             8.7364            1.1108       29.128         5.7867              0              23     
    175         15.748             14.383            1.0521       45.718         10.937              0              30     
    172         16.373             13.646            1.0345        45.71         9.6395              0              26     
    192         28.646             9.0345           0.61901       62.432         5.4896              0              15     
    153         17.798             11.437           0.84608        47.67          5.915              0              16     
     52         8.9702              7.622            1.1713        23.62         5.2692              0              23     
    232         19.902             15.401           0.86665           58         8.8621              0              30     
