 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
     69         9.4086             9.4086            1.2632         26.2         61.362             39              93     
     69         9.4086             9.4086            1.2632         26.2         197.33            107             238     
     69         9.4086             9.4086            1.2632         26.2         33.159             16              53     
     85         10.778             10.128            1.2219       29.566         62.188             27             115     
     69         9.4086             9.4086            1.2632         26.2         48.783             29              77     
     69         9.4086             9.4086            1.2632         26.2         80.159             49             124     
     92         11.679             10.096            1.2052       30.972         60.196             36             105     
     78         10.505             9.5273            1.2361        28.16         64.564             40             107     
     69         9.4086             9.4086            1.2632         26.2             83             41             125     
     94         11.699             10.328            1.2023       31.344         89.489             24             173     
     69         9.4086             9.4086            1.2632         26.2         75.725             41             111     
     85         10.778             10.128            1.2219       29.566         67.212             42             108     
    156         20.674             10.638           0.73988       51.474         226.06            108             255     
     91         11.742             9.9362            1.2062        30.79         73.429             38             132     
     69         9.4086             9.4086            1.2632         26.2         67.159             42             104     
     69         9.4086             9.4086            1.2632         26.2         53.188             24              82     
     69         9.4086             9.4086            1.2632         26.2         80.928             50             126     
     69         9.4086             9.4086            1.2632         26.2         88.478             55             142     
     85         10.778             10.128            1.2219       29.566         77.906             36             132     
     94         11.699             10.328            1.2023       31.344         53.574             28              88     
     99         12.301              10.33            1.1867       32.378         50.616             20              98     
     85         10.778             10.128            1.2219       29.566         103.72             65             160     
     69         9.4086             9.4086            1.2632         26.2         144.07             87             204     
    116         14.037             10.672            1.1289       35.934         183.31             64             241     
     69         9.4086             9.4086            1.2632         26.2         101.41             57             143     
     69         9.4086             9.4086            1.2632         26.2         11.435              3              26     
     69         9.4086             9.4086            1.2632         26.2         43.145             18              71     
     69         9.4086             9.4086            1.2632         26.2          45.87             25              72     
     82         10.935             9.6154            1.2242       29.012         102.41             49             159     
     78         10.505             9.5273            1.2361        28.16         68.487             40             112     
     78         10.505             9.5273            1.2361        28.16         50.872             20              99     
     78         10.505             9.5273            1.2361        28.16         74.987             49             121     
     69         9.4086             9.4086            1.2632         26.2         201.88             97             251     
    131         13.781             12.196             1.158       37.704         50.466             24              83     
    109         13.805             10.129            1.1489       34.528         204.04            101             250     
     69         9.4086             9.4086            1.2632         26.2         194.04             72             253     
     78         10.505             9.5273            1.2361        28.16         55.115             25              93     
     69         9.4086             9.4086            1.2632         26.2         227.23             76             255     
     78         10.505             9.5273            1.2361        28.16         115.18             55             160     
    118         14.903             10.177            1.1138       36.488         147.81             88             202     
    105         12.699             10.626            1.1767       33.486         83.648             43             130     
     95         11.641             10.482            1.2011       31.526         52.958             22              93     
     69         9.4086             9.4086            1.2632         26.2         116.97             53             173     
    124         13.605              11.73            1.1588        36.67         154.12             74             221     
     69         9.4086             9.4086            1.2632         26.2         57.609             28              95     
     87         11.613             9.6204            1.2051        30.12         108.83             54             146     
    122         13.549             11.546            1.1636       36.298         183.48             59             237     
    114          12.58             11.641            1.1767       34.892         20.263              5              47     
    103         12.796             10.368             1.167       33.304         82.835             41             140     
    105         12.014             11.237            1.1896       33.304         195.89            108             245     
    107         12.561             10.945            1.1781       33.784         82.626             41             124     
     69         9.4086             9.4086            1.2632         26.2         39.536             19              73     
     69         9.4086             9.4086            1.2632         26.2         131.83             44             209     
     69         9.4086             9.4086            1.2632         26.2         99.855             49             166     
     78         10.505             9.5273            1.2361        28.16         121.92             48             187     
    101         12.486               10.4            1.1833        32.75         23.802              9              48     
     69         9.4086             9.4086            1.2632         26.2         56.725             31              99     
    139         16.589             10.853            1.0542       40.706         158.37             51             231     
     69         9.4086             9.4086            1.2632         26.2         189.26             86             236     
     85         10.778             10.128            1.2219       29.566         59.329             35              96     
    131         13.372             12.544            1.1693       37.522         101.34             45             151     
     69         9.4086             9.4086            1.2632         26.2         82.217             48             130     
     69         9.4086             9.4086            1.2632         26.2         186.26             82             229     
     69         9.4086             9.4086            1.2632         26.2         62.913             31             107     
    117         14.081             10.724            1.1272       36.116         42.077             15              82     
     94         11.699             10.328            1.2023       31.344         18.245              6              41     
     78         10.505             9.5273            1.2361        28.16         111.77             45             168     
     82         10.935             9.6154            1.2242       29.012         27.451             12              56     
     69         9.4086             9.4086            1.2632         26.2         134.04             71             181     
     69         9.4086             9.4086            1.2632         26.2         105.29             39             155     
     78         10.505             9.5273            1.2361        28.16         147.74             75             219     
     78         10.505             9.5273            1.2361        28.16         191.21             68             238     
     78         10.505             9.5273            1.2361        28.16         36.372             16              68     
     87         11.613             9.6204            1.2051        30.12         153.61             51             239     
    111         12.502             11.383             1.183       34.338         46.252             23              78     
     78         10.505             9.5273            1.2361        28.16         28.308             11              52     
     82         10.935             9.6154            1.2242       29.012         238.99            191             255     
     91         11.742             9.9362            1.2062        30.79         76.692             47             121     
    124         13.693             11.642            1.1588        36.67          95.29             48             158     
    107         13.161              10.45            1.1649       33.974         94.757             29             194     
    164         15.023             14.054            1.1321       42.666         50.665             22              97     
    122          14.74             10.625            1.1289       36.852         119.63             45             188     
    105         12.699             10.626            1.1767       33.486         51.438             25              79     
    156         16.336             12.483            1.0678       42.848         174.46             40             237     
    164         15.512             13.551            1.1321       42.666         200.51             87             254     
    102         12.159             10.754            1.1951        32.75         54.324             26              89     
     94         11.699             10.328            1.2023       31.344         171.07             81             237     
     91         11.742             9.9362            1.2062        30.79         75.967             42             107     
    116         14.139             10.577            1.1289       35.934         21.448              6              49     
     69         9.4086             9.4086            1.2632         26.2         97.507             48             143     
    174         15.804             14.124            1.1351        43.89         200.34             68             253     
     69         9.4086             9.4086            1.2632         26.2         26.275             13              57     
    101         12.683             10.207            1.1833        32.75         123.16             61             177     
     85         10.778             10.128            1.2219       29.566           39.4             18              68     
    133         13.736             12.471            1.1528       38.076         183.54             86             238     
     78         10.505             9.5273            1.2361        28.16         39.718              9              88     
     69         9.4086             9.4086            1.2632         26.2         182.19             79             245     
    125         13.346             12.014            1.1681        36.67         43.288             16              86     
     69         9.4086             9.4086            1.2632         26.2          104.9             65             154     
     69         9.4086             9.4086            1.2632         26.2         199.12             59             247     
     69         9.4086             9.4086            1.2632         26.2          45.13             22              70     
     69         9.4086             9.4086            1.2632         26.2         128.09             19             227     
     69         9.4086             9.4086            1.2632         26.2         120.26             27             208     
     78         10.505             9.5273            1.2361        28.16         149.27             86             197     
     69         9.4086             9.4086            1.2632         26.2         15.203              4              36     
     69         9.4086             9.4086            1.2632         26.2          178.1             79             245     
    161         14.636             14.108            1.1408       42.112         153.81             43             228     
     69         9.4086             9.4086            1.2632         26.2         75.855             39             155     
     88         10.629             10.629            1.2189        30.12         66.261             33             104     
     87         11.613             9.6204            1.2051        30.12         65.897             37             101     
     69         9.4086             9.4086            1.2632         26.2         31.812             10              58     
     87         11.613             9.6204            1.2051        30.12         156.16             65             235     
     78         10.505             9.5273            1.2361        28.16         13.603              4              30     
     85         10.778             10.128            1.2219       29.566         29.012             16              48     
    144         13.671             13.485            1.1608       39.482          147.4             46             211     
     69         9.4086             9.4086            1.2632         26.2         89.406             40             141     
    128             16             10.319            1.0779        38.63         38.578             19              65     
     82         10.935             9.6154            1.2242       29.012          155.5             58             212     
     78         10.505             9.5273            1.2361        28.16             84             13             191     
     69         9.4086             9.4086            1.2632         26.2         18.971              7              38     
     69         9.4086             9.4086            1.2632         26.2         23.116              7              40     
     69         9.4086             9.4086            1.2632         26.2         34.942             11              63     
     69         9.4086             9.4086            1.2632         26.2         89.493             50             140     
    113         13.867             10.496            1.1419       35.264         27.177             10              52     
     78         10.505             9.5273            1.2361        28.16         50.064             11             126     
     69         9.4086             9.4086            1.2632         26.2         108.67             20             190     
    118         13.982              10.87            1.1442           36         119.69             42             198     
     69         9.4086             9.4086            1.2632         26.2         80.681             33             136     
     69         9.4086             9.4086            1.2632         26.2         54.478             23              87     
     69         9.4086             9.4086            1.2632         26.2         172.65             80             207     
     78         10.505             9.5273            1.2361        28.16         31.436              7              81     
     69         9.4086             9.4086            1.2632         26.2         202.01             32             255     
    130         13.374             12.449            1.1717        37.34         102.45             49             168     
     69         9.4086             9.4086            1.2632         26.2         11.957              4              27     
    105         12.014             11.237            1.1896       33.304         26.619             11              48     
     69         9.4086             9.4086            1.2632         26.2         98.145             58             170     
     69         9.4086             9.4086            1.2632         26.2         128.43             96             164     
     69         9.4086             9.4086            1.2632         26.2         11.377              3              26     
     95         11.641             10.482            1.2011       31.526         85.116             29             138     
     69         9.4086             9.4086            1.2632         26.2         71.159             36             125     
     69         9.4086             9.4086            1.2632         26.2         94.812             19             199     
    156         14.283             14.004            1.1451       41.376         156.99             65             235     
     82         10.935             9.6154            1.2242       29.012         13.122              3              32     
     69         9.4086             9.4086            1.2632         26.2         34.536             15              63     
     78         10.505             9.5273            1.2361        28.16         14.192              4              31     
     69         9.4086             9.4086            1.2632         26.2         95.203             38             151     
     69         9.4086             9.4086            1.2632         26.2         189.96            111             254     
    123         12.857             12.264            1.1731       36.298         24.976             10              47     
     78         10.505             9.5273            1.2361        28.16         29.923             16              55     
     69         9.4086             9.4086            1.2632         26.2         64.174             32             125     
    102         12.462             10.521            1.1819       32.932         155.42             69             219     
     82         10.935             9.6154            1.2242       29.012         178.56             72             219     
     78         10.505             9.5273            1.2361        28.16         20.692              9              41     
    117          13.55             11.084            1.1626       35.562         55.333             26              97     
    117         13.322             11.366            1.1508       35.744         50.368             22              91     
     95         11.641             10.482            1.2011       31.526         36.411             23              55     
     69         9.4086             9.4086            1.2632         26.2         17.087              4              39     
     69         9.4086             9.4086            1.2632         26.2         101.81             25             195     
     78         10.505             9.5273            1.2361        28.16         11.603              2              35     
     85         10.778             10.128            1.2219       29.566         150.32             85             209     
    166         15.601             13.632            1.1362       42.848         176.36             45             245     
     69         9.4086             9.4086            1.2632         26.2          58.71             27              94     
     78         10.505             9.5273            1.2361        28.16         67.808             25             131     
     69         9.4086             9.4086            1.2632         26.2          50.71             16              84     
    105         12.699             10.626            1.1767       33.486         13.381              3              39     
     95         11.641             10.482            1.2011       31.526         134.64             65             204     
    105         12.014             11.237            1.1896       33.304         27.171              5              70     
    121         14.587             10.674            1.1236       36.786         146.96             61             247     
     69         9.4086             9.4086            1.2632         26.2         61.609             22             121     
    149         14.242              13.41            1.1509       40.334         196.12             83             254     
     69         9.4086             9.4086            1.2632         26.2         48.246             10              93     
     95         11.641             10.482            1.2011       31.526         117.82             52             193     
    104         13.246             10.084            1.1575       33.602         15.481              4              35     
    135         13.736             12.603             1.159       38.258          84.37             31             161     
     69         9.4086             9.4086            1.2632         26.2            110             51             169     
     69         9.4086             9.4086            1.2632         26.2         20.826              4              51     
     92         11.679             10.096            1.2052       30.972         9.7717              1              24     
     69         9.4086             9.4086            1.2632         26.2         190.86             32             255     
     69         9.4086             9.4086            1.2632         26.2         176.65             96             227     
     69         9.4086             9.4086            1.2632         26.2         102.38             50             164     
     69         9.4086             9.4086            1.2632         26.2         154.36             79             221     
     88         10.629             10.629            1.2189        30.12         22.898              3              52     
     91         11.742             9.9362            1.2062        30.79         63.934             24             104     
    139         13.703             12.993            1.1635       38.746         88.748             22             172     
     69         9.4086             9.4086            1.2632         26.2         192.93            112             245     
     69         9.4086             9.4086            1.2632         26.2         103.51             40             158     
     69         9.4086             9.4086            1.2632         26.2         135.26             63             226     
     69         9.4086             9.4086            1.2632         26.2         134.84             36             232     
     69         9.4086             9.4086            1.2632         26.2         143.77             63             227     
     69         9.4086             9.4086            1.2632         26.2         146.38             56             212     
     69         9.4086             9.4086            1.2632         26.2         64.464             22             102     
     69         9.4086             9.4086            1.2632         26.2         64.971             30             117     
    105         12.014             11.237            1.1896       33.304         207.02            122             253     
     92         11.372               10.4            1.2052       30.972         69.457             19             131     
     69         9.4086             9.4086            1.2632         26.2         198.55             92             249     
     85         10.778             10.128            1.2219       29.566         109.51             37             198     
     69         9.4086             9.4086            1.2632         26.2         67.319             21             112     
     69         9.4086             9.4086            1.2632         26.2         188.75             19             255     
     69         9.4086             9.4086            1.2632         26.2         144.74             51             228     
     69         9.4086             9.4086            1.2632         26.2         64.928             26             106     
    102         12.462             10.521            1.1819       32.932         35.382              9              88     
     69         9.4086             9.4086            1.2632         26.2         95.971             25             171     
     69         9.4086             9.4086            1.2632         26.2         78.174             22             143     
     69         9.4086             9.4086            1.2632         26.2         139.55             31             231     
     69         9.4086             9.4086            1.2632         26.2         19.928              3              47     
     69         9.4086             9.4086            1.2632         26.2         126.49             31             241     
     69         9.4086             9.4086            1.2632         26.2         82.855             22             155     
     69         9.4086             9.4086            1.2632         26.2         39.696              5              95     
     69         9.4086             9.4086            1.2632         26.2         160.16             21             255     
    113         12.898             11.292            1.1664       34.892         17.195              2              50     
     87         11.613             9.6204            1.2051        30.12         13.552              1              31     
     69         9.4086             9.4086            1.2632         26.2         72.014              4             163     
     69         9.4086             9.4086            1.2632         26.2         12.797              1              42     
     69         9.4086             9.4086            1.2632         26.2         117.26             15             228     
     88         10.629             10.629            1.2189        30.12         55.273             16             127     
